 entropy p
 192263.9275188699 355539.90495271864
 193001.42376404352 326259.13740541064
 193806.0811186154 296978.36985810264
 194691.8812600556 267697.60231079464
 195677.6777384442 238416.8347634866
 196789.7606797137 209136.06721617858
 198066.36858775938 179855.29966887055
 199566.24409871275 150574.53212156252
 201386.5535524617 121293.76457425448

 102109.66634790442 1222709.0575304683
 102075.06118993092 2138058.755612783
 102040.64650653041 3053408.453695098
 102006.41994277871 3968758.1517774127
 101972.37918974739 4884107.849859728
 101938.52198327662 5799457.547942042
 101904.84610278843 6714807.246024357
 101871.34937013943 7630156.944106672
 101838.02964850444 8545506.642188987
 101804.88484131666 9460856.340271302
 101771.91289121775 1.0376206038353616E7
 101739.11177906061 1.1291555736435931E7
 101706.47952293645 1.2206905434518246E7
 101674.01417723579 1.312225513260056E7
 101641.71383173802 1.4037604830682876E7
 101609.57661073124 1.495295452876519E7
 101577.60067215882 1.5868304226847505E7
 101545.78420679327 1.678365392492982E7
 101514.1254374355 1.7699003623012133E7
 101482.62261813923 1.8614353321094446E7
 101451.27403345902 1.952970301917676E7
 101420.07799772099 2.044505271725907E7
 101389.03285431577 2.1360402415341385E7
 101358.1369750133 2.2275752113423698E7
 101327.38875929712 2.319110181150601E7
 101296.78663371941 2.4106451509588324E7
 101266.32905127408 2.5021801207670636E7
 101236.01449078938 2.593715090575295E7
 101205.84145633753 2.6852500603835262E7
 101175.80847666104 2.7767850301917575E7
 101145.91410461672 2.868319999999989E7

 181994.5810488609 1222709.0575304683
 182278.45026649986 1185995.2144319278
 182570.1465625812 1149281.3713333872
 182870.1893607286 1112567.5282348467
 183179.1501803607 1075853.685136306
 183497.65988016903 1039139.8420377657
 183826.41720479119 1002425.9989392252
 184166.1989266218 965712.1558406848
 184517.87195396866 928998.3127421443
 184882.40788162366 892284.4696436039
 185260.90060005864 855570.6265450635
 185654.58776882634 818856.783446523
 186064.87721868648 782142.9403479826
 186493.3797056435 745429.0972494421
 186941.94994386422 708715.2541509017
 187412.73856294298 672001.4110523612
 187908.25867696237 635287.5679538208
 188431.47229193273 598573.7248552804
 188985.90409834817 561859.8817567399
 189575.79377301745 525146.0386581995
 190206.3035715124 488432.195559659
 190883.80719708768 451718.3524611185
 191616.30140057945 415004.509362578
 192414.00874415945 378290.6662640375
 193290.2890814902 341576.823165497
 194263.07137181092 304862.9800669565
 195357.20876782533 268149.136968416
 196608.57864539287 231435.29386987552
 198071.75338603984 194721.45077133505
 199835.77696462304 158007.60767279458
 202061.15486964912 121293.7645742541

 103818.29645857096 1482764.8153816888
 103781.43908278541 2389445.988202296
 103744.80041394228 3296127.1610229034
 103708.37753051217 4202808.333843511
 103672.16757263041 5109489.506664118
 103636.16774031293 6016170.679484725
 103600.37529174137 6922851.852305332
 103564.78754164441 7829533.025125939
 103529.40185953959 8736214.197946547
 103494.21566852521 9642895.370767154
 103459.2264434702 1.0549576543587761E7
 103424.43170974778 1.1456257716408368E7
 103389.82904182325 1.2362938889228975E7
 103355.41606192126 1.3269620062049583E7
 103321.19043874003 1.417630123487019E7
 103287.14988620841 1.5082982407690797E7
 103253.29216228542 1.5989663580511404E7
 103219.61506780077 1.689634475333201E7
 103186.1164453328 1.780302592615262E7
 103152.794178125 1.870970709897323E7
 103119.64618903739 1.961638827179384E7
 103086.67043953195 2.0523069444614448E7
 103053.86492869168 2.1429750617435057E7
 103021.22769227086 2.2336431790255666E7
 102988.75680177571 2.3243112963076275E7
 102956.45036357421 2.4149794135896884E7
 102924.3065180343 2.5056475308717493E7
 102892.3234386885 2.5963156481538102E7
 102860.49933142537 2.686983765435871E7
 102828.83243370525 2.777651882717932E7

 180887.52673675312 1482764.8153816888
 181182.74229646754 1437382.4470214408
 181486.04022489963 1392000.078661193
 181797.9733563088 1346617.710300945
 182119.15101635555 1301235.341940697
 182450.24705889687 1255852.9735804491
 182792.00938204175 1210470.6052202012
 183145.27126286805 1165088.2368599533
 183510.96494466637 1119705.8684997053
 183890.13803634257 1074323.5001394574
 184283.97345284696 1028941.1317792096
 184693.81385587226 983558.7634189618
 185121.19187161117 938176.395058714
 185567.86780603678 892794.0266984662
 186035.87720728666 847411.6583382183
 186527.59153132277 802029.2899779705
 187045.79649685323 756646.9216177227
 187593.79470466252 711264.5532574749
 188175.5421372206 665882.1848972271
 188795.83291664766 620499.8165369793
 189460.55436330268 575117.4481767315
 190177.04711811634 529735.0798164837
 190954.62696269815 484352.71145623585
 191805.3641344716 438970.34309598804
 192745.2894744641 393587.9747357402
 193796.342841699 348205.6063754924
 194989.68988844004 302823.2380152446
 196371.75174580206 257440.8696549968
 198016.14103495175 212058.50129474897
 200050.17927229247 166676.13293450116

 105518.89744985114 1783901.6243595036
 105479.57809553349 2680544.903547517
 105440.51086342482 3577188.1827355307
 105401.69210604197 4473831.461923544
 105363.11825927482 5370474.741111558
 105324.78583978601 6267118.020299572
 105286.69144250528 7163761.299487585
 105248.83173822427 8060404.578675599
 105211.20347128893 8957047.857863612
 105173.80345737319 9853691.137051625
 105136.62858134398 1.0750334416239638E7
 105099.67579520647 1.164697769542765E7
 105062.94211612377 1.2543620974615663E7
 105026.4246245137 1.3440264253803676E7
 104990.12046221316 1.4336907532991689E7
 104954.02683071261 1.5233550812179701E7
 104918.14098945259 1.6130194091367714E7
 104882.46025418359 1.702683737055573E7
