 enthalpy p
 -1.6948201376540077E8 187684.82204558668
 -1.6947411719553113E8 185576.1611162701
 -1.6946623326560554E8 183467.5001869535
 -1.6945836191327417E8 181358.8392576369
 -1.694505030766974E8 179250.1783283203
 -1.694426566945401E8 177141.5173990037
 -1.6943482270596585E8 175032.8564696871
 -1.6942700105063123E8 172924.1955403705
 -1.6941919166868028E8 170815.5346110539
 -1.6941139450073913E8 168706.8736817373
 -1.6940360948791033E8 166598.21275242072
 -1.6939583657176778E8 164489.55182310412
 -1.6938807569435132E8 162380.89089378752
 -1.693803267981615E8 160272.22996447093
 -1.6937258982615468E8 158163.56903515433
 -1.6936486472173765E8 156054.90810583773
 -1.693571514287631E8 153946.24717652114
 -1.693494498915243E8 151837.58624720454
 -1.6934176005475062E8 149728.92531788794
 -1.693340818636025E8 147620.26438857135
 -1.6932641526366684E8 145511.60345925475
 -1.6931876020095256E8 143402.94252993815
 -1.6931111662188572E8 141294.28160062156
 -1.6930348447330526E8 139185.62067130496
 -1.6929586370245847E8 137076.95974198836
 -1.6928825425699657E8 134968.29881267177
 -1.6928065608497056E8 132859.63788335517
 -1.692730691348267E8 130750.97695403858
 -1.6926549335540253E8 128642.31602472198
 -1.6925792869592267E8 126533.65509540538
 -1.6925037510599473E8 124424.99416608879

 -1.9854537102406892E8 230126.462782104
 -1.9854300991653782E8 313423.3012125504
 -1.9854059787915802E8 396720.1396429968
 -1.985381355129109E8 480016.97807344317
 -1.985356234079555E8 563313.8165038895
 -1.9853306214389172E8 646610.6549343358
 -1.985304522900173E8 729907.4933647822
 -1.985277944055748E8 813204.3317952285
 -1.9852508903999227E8 896501.1702256749
 -1.9852233673311594E8 979798.0086561212
 -1.9851953801543567E8 1063094.8470865677
 -1.9851669340830982E8 1146391.685517014
 -1.9851380342416644E8 1229688.5239474603
 -1.9851086856672147E8 1312985.3623779067
 -1.9850788933117357E8 1396282.200808353
 -1.9850486620440027E8 1479579.0392387994
 -1.9850179966514674E8 1562875.8776692457
 -1.9849869018420956E8 1646172.716099692
 -1.984955382246153E8 1729469.5545301384
 -1.98492344241794E8 1812766.3929605847
 -1.9848910868374735E8 1896063.231391031
 -1.9848583199121302E8 1979360.0698214774
 -1.9848251459782338E8 2062656.9082519237
 -1.984791569302607E8 2145953.74668237
