 gibbs p
 -3.1863348213450253E8 371208.5943400157
 -3.1875865032581645E8 358055.1822470809
 -3.1888861099311537E8 344901.77015414607
 -3.1902373676634216E8 331748.35806121124
 -3.191644455188446E8 318594.9459682764
 -3.1931120800170517E8 305441.5338753416
 -3.1946455715952486E8 292288.12178240676
 -3.196250995926288E8 279134.7096894719
 -3.197935297879427E8 265981.2975965371
 -3.1997064796197915E8 252827.88550360227
 -3.201573826752427E8 239674.47341066744
 -3.2035481983612025E8 226521.06131773262
 -3.2056424039102834E8 213367.6492247978
 -3.207871700225267E8 200214.23713186296
 -3.2102544576054937E8 187060.82503892813
 -3.212813069214631E8 173907.4129459933
 -3.215575218830668E8 160754.00085305847
 -3.218575691025337E8 147600.58876012365
 -3.2218590285615945E8 134447.17666718882
 -3.225483562438079E8 121293.76457425399

 -3.1834060662266445E8 649830.5006913895
 -3.1831811243826276E8 1584276.1506683403
 -3.182956284566564E8 2518721.800645291
 -3.182731546159608E8 3453167.4506222415
 -3.1825069085497874E8 4387613.100599192
 -3.18228237113189E8 5322058.750576143
 -3.182057933307352E8 6256504.400553094
 -3.181833594484151E8 7190950.050530045
 -3.181609354076696E8 8125395.700506996
 -3.181385211505725E8 9059841.350483947
 -3.1811611661982036E8 9994287.000460897
 -3.1809372175872236E8 1.0928732650437847E7
 -3.180713365111907E8 1.1863178300414797E7
 -3.18048960821731E8 1.2797623950391747E7
 -3.180265946354328E8 1.3732069600368697E7
 -3.1800423789796054E8 1.4666515250345647E7
 -3.1798189055554456E8 1.5600960900322597E7
 -3.179595525549726E8 1.6535406550299548E7
 -3.179372238435804E8 1.7469852200276498E7
 -3.1791490436924446E8 1.8404297850253448E7
 -3.178925940803725E8 1.9338743500230398E7
 -3.178702929258965E8 2.027318915020735E7
 -3.178480008552643E8 2.12076348001843E7
 -3.178257178184317E8 2.214208045016125E7
 -3.1780344376585495E8 2.30765261001382E7
 -3.1778117864848363E8 2.401097175011515E7
 -3.177589224177529E8 2.49454174000921E7
 -3.1773667502557683E8 2.587986305006905E7
 -3.1771443642434067E8 2.6814308700046E7
 -3.176922065668948E8 2.774875435002295E7
 -3.176699854065474E8 2.86831999999999E7

 -3.1834060662266445E8 649830.5006913895
 -3.184364469485688E8 632212.609487485
 -3.1853510336450946E8 614594.7182835805
 -3.18636739506147E8 596976.827079676
 -3.187415337191298E8 579358.9358757715
 -3.1884968087666845E8 561741.0446718669
 -3.1896139448681194E8 544123.1534679624
 -3.190769091466625E8 526505.2622640579
 -3.191964834144167E8 508887.37106015335
 -3.193204031876088E8 491269.4798562488
 -3.194489856985455E8 473651.5886523443
 -3.195825842673892E8 456033.6974484398
 -3.1972159399211586E8 438415.80624453526
 -3.1986645860607487E8 420797.91504063073
 -3.2001767880301356E8 403180.0238367262
